,class,problem,code,answer
0,5,수진이는 빵을 똑같이 5조각으로 나눈 후 그중 한 조각을 먹었습니다. 미애가 같은 크기의 빵을 20조각으로 나누었습니다. 정희와 같은 양을 먹으려면 미애는 몇 조각을 먹어야 하는지 구해 보세요.,"a = 5
b = 1
c = 20
y = b * c / a
print(y)",4
1,5,"민우네 가족은 사과를 땄습니다. 동생은 4.3 kg 을 땄고, 누나는 동생보다 6.2 kg 더 많이 땃습니다. 민우는 누나가 캔 고구마의 무게의 0.2보다 3310 g 더 많이 캤다면 민우가 캔 고구마는 몇 kg 입 니까?","a = 4.3
b = 6.2
c = a + b
d = 0.2
e = 3.31
y = e + c * d
print(y)",5.41
2,5,"어떤 수에 30를 더한 후 5로 나누고, 3를 뺀 값에 2를 곱한 값이 12라면, 어떤 수는 얼마일까요?","a = 30
b = 5
c = 3
d = 2
e = 12
y = (e / d + c) * b - a
print(y)",15
3,5,36을 어떤 수로 나누었더니 9로 나누어 떨어졌습니다. 어떤 수는 얼마인지 구하시오. ,"a = 36
b = 9
y = a / b
print(y)",4
4,5,100 - 200 - 300 - 400과 같은 규칙으로 500에서 5번 뛰어 센 수를 구해보시오.,"a = 200
b = 100
c = a - b
d = 500
y = d + c * 5
print(y)",1000
5,5,2 리터 짜리 물통에 물이 가득 들어 있습니다. 세훈이가 컵으로 가득 3 번 덜어 내었더니 물은 0.8리터 가 남았습니다. 컵의 들이는 몇 리터 인지 소수로 나타내시오.,"a = 2
b = 3
c = 0.8
y = (a - c) / b
print(y)",0.40
6,5,다음 17 - □ - 37 에서 규칙을 찾아 A에 들어갈 수를 구해보시오.,"a = 17
b = 37
c = a - b
y = b + c / 2
print(y)",27
7,5,"수업 간에 남학생 5명과 여학생 6명으로 한 모둠을 만들었습니다. 여러 모둠이 모여 있을 때, 여학생이 30명이면 남학생은 모두 몇 명일까요?","a = 5
b = 6
c = 30
d = c / b
y = a * d
print(y)",25
8,5,다음 식 A / 9 = 64 / 8를 만족하는 A를 구하시오.,"a = 9
b = 64 / 8
y = b * a
print(y)",72
9,5,760cm은 Am Bcm라고 할 수 있습니다. A와 B의 합을 구하시오.,"a = 760
b = 100
c = a // b
d = a % b
y = c + d
print(y)",67
10,5,"세연이네 마을의 인구는 7000 명이고, 땅의 넓이는 12k제곱미터입니다. 세연이네 마을의 k제곱미터당 평균 인구는 몇 명입니까?","a = 7000
b = 12
y = a / b
print(y)",583.3333333333334
11,5,다음 식 55*4*A<61*30이 있습니다. 이를 만족하는 한 자리 수 A 중에서 가장 큰 수를 구해 보시오.,"a = 55
b = 4
c = 61
d = 30
y = 0
for i in range(1,9+1):
    if i < (c * d) / (a * b) :
        y = i
print(y)",8
12,5,"어떤 수를 8로 나누었더니 몫은 6 , 나머지는 3이 나왔습니다. 어떤 수를 구하시오.","a = 8
b = 6
c = 3
y = a * b + c
print(y)",51
13,5,"세연이네 마을의 인구는 5000 명이고, 땅의 넓이는 30km²입니다. 세연이네 마을의 km²당 평균 인구는 몇 명입니까?","a = 5000
b = 30
y = a / b
print(y)",166.66666666666666
14,5,70은 A보다 40 큰 수입니다. 60은 10보다 B 큰 수입니다. 이때 A+B를 계산하세요.,"a = 70
b = 40
c = 60
d = 10
y = (a - b) + (c - d)
print(y)",80
15,5,다음 식 70*A=6300이 있습니다. 이를 만족하는 A를 구하시오.,"a = 70
b = 6300
y = b / a
print(y)",90
16,5,"9에 두 자리 수 AB를 곱하였더니 117이 되었다면, 일의자리와 십의 자리를 바꾼 두 자리 수 BA는 얼마입니까?","a = 9
b = 117
c = b // a
d = c // 10
e = c % 10
y = e * 10 + d
print(y)",31
17,5,"숫자 A, B가 있습니다. A를 7로 나는 몫은 15이고, 나머지가 B일 때, A 안에 들어갈 수 있는 수 중에서 가장 큰 수는 얼마인지 구해 보세요.","a = 7
b = 15
y = a * b + (a - 1)
print(y)",111
18,5,"현재 펼쳐져 있는 책의 두 쪽수의 합이 101이라면, 두 쪽수 중 큰 수를 쓰시오.","a = 101
y = (a + 1) // 2
print(y)",51
19,5,"집에서 치과까지의 거리는 집에서 내과까지의 거리의 3.21배입니다. 집에서 내과까지의 거리가 60m라면, 집에서 치과까지의 거리는 몇m 인가요?","a = 3.21
b = 60
y = a * b
print(y)",192.60
20,5,어떤 수와 8의 곱은 40입니다. 95를 어떤 수로 나누면 몫은 얼마입니까?,"a = 8
b = 40
c = 95
y = c // (b / a)
print(y)",19
21,5,다음 식 81 / A = 36 / 4이 있습니다. 이를 만족하는 A를 구하시오.,"a = 81
b = 36
c = 4
y = a / (b / c)
print(y)",9
22,5,"무게가 같은 수박이 한 상자에 3개씩 들어 있습니다. 상자 6개의 무게가 23kg 일 때 수박 한 개의 무게는 몇 kg 인지 소수로 나타내시오. (단, 상자의 무게는 생 각하지 않습니다.)","a = 23
b = 6
c = a / b
y = c / 3
print(y)",1.28
23,5,어느 빵집에서 빵 50개를 만드려면 밀가루 10kg이 필요하다고 합니다. 빵을 200개 만드려면 밀가루가 몇 kg가 필요한가요?,"a = 50
b = 10
c = 200
y = b * c / a
print(y)",40
24,5,"10 이 5 개, 1 이 6 개, 0.1 이 2 개, 0.01 이 12개인 수는 무엇인지 알맞은 소수를 구하시오","a = 10 * 5
b = 1 * 6
c = 0.1 * 2
d = 0.01 * 12
y = a + b + c + d
print(y)",56.32
25,5,"도서관에 똑같은 책장이 30개 있습니다. 각 책장은 5층이고, 각 층마다 꽂혀있는 책의 수는 같습니다. 동화책은 어느 책장의 한 층의 왼쪽에서 3번째, 오른쪽에서 12번째에 꽂혀 있습니다. 도서관에 있는 책은 총 몇 권입니까?","a = 30
b = 5
c = 3
d = 12
y = (c + d - 1) * b * a
print(y)",2100
26,5,7로 어떤 수를 나누었더니 몫이 3이 되었습니다. 어떤 수는 얼마입니까?,"a = 7
b = 3
y = a * b
print(y)",21
27,5,두 자리 수 A2을 5로 곱하면 60이라고합니다. A는 얼마일까요?,"a = 60
b = 5
c = a / b
y = int(str(c)[0])
print(y)",1
28,5,"일의 자리 숫자가 2, 소수 첫째 자리 숫자가 1 , 소수 둘째 자리 숫자가 5인 소수 두 자리 수의 100 배는 얼마입니까?","a = 2
b = 1 * 0.1
c = 5 * 0.01
d = 100
e = a + b + c
y = d * e
print(y)",215
29,5,"5와 7의 곱에서 어떤 수와 6의 합을 4로 나눈 몫을 빼면 26이 나온다면, 어떤 수는 무엇인가요?","a = 5
b = 7
c = 6
d = 4
e = 26
y = (a * b - e) * d - c
print(y)",30
30,5,"두 수A,B의 합은 12이고 차는 4입니다. 두 수 A,B의 곱을 구하시오.","a = 12
b = 4
y = ((a + b) / 2) * (a - (a + b) / 2)
print(y)",32
